"주택유형별","지역별","주택규모별","항목","단위","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","2023.10 월","2023.11 월","2023.12 월","2024.01 월","2024.02 월","2024.03 월","2024.04 월","2024.05 월","2024.06 월","2024.07 월",
"아파트","전국","규모1","전세가격","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.99873314","99.95345522","99.88601908","99.73253168","99.51606122","99.17531866","98.85483982","98.40272477","98.17153663","97.86070143","97.69340702","97.56914563","97.44644014","97.14369811","96.87364044","96.54288965","96.27947237","95.93488976","95.82504452","95.69902701","95.51004712","95.29245068","95.21177081","95.2781729","95.26449307","95.35572061","95.34936043","95.36531215","95.33901534","95.34516668","95.32496794","95.44264711","95.56778185","95.78246126","96.09526189","96.29759054","96.7065256","97.37857721","97.80980135","98.44623895","98.82611182","99.09505597","99.35848725","100","100.5550732","101.2006055","101.7745283","102.4374829","102.8366487","103.1805645","103.3801182","103.542027","103.6667415","103.9209744","104.2233874","104.4552741","104.5984294","104.6615251","104.498657","104.0498875","102.9250849","101.1962478","99.7310053","98.52580525","97.79128093","97.54529568","97.31214308","97.03835834","97.04284121","97.13420491","97.31232967","97.50290585","97.54645206","97.48924006","97.53057131","97.55764319","97.54764401","97.55021054","97.67400116","97.7723503","97.87987593",
"아파트","전국","규모2","전세가격","","88.13308635","88.48713242","89.06157615","89.8641575","90.42313248","91.01037593","91.42047004","91.82250678","92.36638153","92.90840601","93.45011484","93.76812101","93.91491353","94.03820901","94.14694199","94.3299073","94.4669792","94.57747644","94.6461213","94.7136624","94.80171971","94.98031959","95.1698237","95.25076081","95.26776775","95.28687215","95.37536727","95.44961008","95.54815928","95.64948235","95.69940009","95.78007648","95.81471242","95.84115002","95.83408381","95.73153275","95.55933302","95.29214326","95.04017811","94.72429274","94.24808676","93.87903097","93.54377219","93.23886383","93.1125031","92.9827732","92.78065652","92.43902379","92.07515359","91.74150411","91.33049386","90.91660943","90.61888376","90.30478201","90.03629751","89.85531414","89.79596702","89.90771536","90.04591883","90.26250163","90.49656667","90.73378799","90.9156356","91.06499038","91.17539369","91.47397075","91.7899083","92.24323699","92.90079268","93.45987688","94.26155151","95.42526779","96.30100226","97.17445898","97.84122203","98.3925426","98.91616429","100","100.9870264","102.0221725","102.8969311","103.9057315","104.6428621","105.0020974","105.108097","105.1289505","105.1787578","105.2585749","105.3332827","105.4134474","105.3354353","104.9465148","104.2302921","102.8761586","100.5628812","97.0671472","94.15515227","91.97988958","90.73023003","90.03663649","89.69360771","89.53127476","89.49237666","89.69535106","90.07690711","90.48945207","90.76416054","90.87031949","90.93179353","90.99668234","91.14358064","91.29729804","91.49538482","91.68282308","91.90837458",
"아파트","전국","규모3","전세가격","","83.65837254","84.06959363","84.58931408","85.35771725","85.90194919","86.52122957","86.92794799","87.30702408","87.84489984","88.36924007","88.87123572","89.23236167","89.40710993","89.58808354","89.7184891","89.87303125","90.01648288","90.1683879","90.30481054","90.43175107","90.53225311","90.72793739","90.95751143","91.05435153","91.10161309","91.14501179","91.22973316","91.27659054","91.30998374","91.36193074","91.38869599","91.45365198","91.5093116","91.54962785","91.59271421","91.53102313","91.43307391","91.28015774","91.08938771","90.78511904","90.36694345","89.97695027","89.64850445","89.34398904","89.21335185","89.14282379","89.04279032","88.80633499","88.50917795","88.20579578","87.88576283","87.46144685","87.15741895","86.89125229","86.66365928","86.56651861","86.57980242","86.74516638","87.0052583","87.36934006","87.85922996","88.22400823","88.56768847","88.75473516","88.89998635","89.32994703","89.88412635","90.6096705","91.44316285","92.18468429","93.2455512","94.86967762","96.05058748","97.10318249","97.84401687","98.39024422","98.95751781","100","100.8639059","101.7777961","102.5796445","103.4676761","104.0645044","104.3587653","104.3634239","104.2476191","104.0481675","103.9057209","103.7212932","103.5121401","103.241336","102.6362134","101.6681006","100.0730859","97.38212838","93.48803267","89.99307595","87.40055004","85.84359379","85.08432845","84.78461492","84.68915626","84.74244083","85.00466247","85.49135372","86.03991528","86.49054278","86.73599046","86.83277787","86.88428212","86.9448888","87.03915643","87.23229423","87.38848686","87.62657697",
"아파트","전국","규모4","전세가격","","79.61360458","80.17080064","80.746046","81.50354081","82.17957771","82.77627981","83.19573502","83.53304281","83.93808238","84.40443192","84.87354404","85.09976089","85.2228461","85.42054258","85.57663485","85.79845074","85.95391977","86.1295973","86.28997356","86.47388654","86.61590178","86.76809297","86.90970089","87.01414628","87.04454899","87.12077864","87.16287822","87.1939762","87.17864035","87.2331414","87.20638252","87.22741207","87.27518037","87.34950586","87.46097975","87.52388361","87.4461429","87.41200133","87.30060776","87.01405938","86.60913652","86.27363214","86.01640687","85.67485087","85.61461368","85.59254434","85.53927618","85.49664183","85.31931627","85.06098803","84.68735717","84.28516909","84.01503258","83.68842306","83.54266954","83.53156328","83.59836676","83.86200558","84.24186826","84.71491914","85.31742589","85.66903732","86.21286395","86.47894967","86.81114992","87.41012652","88.36890421","89.42742652","90.55599023","91.60341848","92.9541611","94.8824114","96.35169142","97.32196125","98.04281896","98.51625587","99.12354391","100","100.7798501","101.7393782","102.562214","103.3957694","104.1834749","104.6313903","104.6375495","104.5477959","104.288766","104.0989617","103.9244079","103.7200348","103.4757394","102.8247657","101.8607883","100.143562","97.59830531","93.32208098","89.38872373","86.31498533","84.4069665","83.42594212","83.13466562","83.18427111","83.2988907","83.6004419","84.29968925","85.17932098","85.94117286","86.42209732","86.50323221","86.51228556","86.66832713","86.71628589","86.86322341","87.02949744","87.32055327",
"아파트","전국","규모5","전세가격","","82.56395808","83.01328683","83.63999794","84.46540039","85.09193258","85.76001525","86.13819321","86.49532467","86.98413621","87.46071744","87.94634584","88.25493015","88.41059905","88.59499581","88.74240838","88.9251496","89.08272166","89.2599714","89.39597448","89.51280886","89.61542634","89.83741808","90.02369044","90.13063604","90.16915794","90.22638075","90.28553373","90.35872752","90.42816233","90.53564005","90.57638526","90.65456032","90.72588661","90.76331011","90.84314859","90.8139738","90.87131766","90.84786917","90.69020621","90.50803686","90.29174058","90.05696701","89.85723113","89.7288913","89.68179681","89.68820968","89.65537919","89.4857389","89.28069255","89.03249713","88.78638183","88.45114024","88.16262159","87.90265698","87.71516717","87.64753352","87.60685864","87.68745735","87.88517041","88.2613569","88.80097092","89.1748822","89.47122651","89.64598554","89.79307529","90.20613457","90.71285002","91.35698994","92.09183751","92.79380829","93.79625768","95.35172138","96.47816103","97.51101768","98.1320215","98.68608668","99.15996682","100","100.7293295","101.4740902","102.1130226","102.9200203","103.5277945","103.8975758","104.062518","104.0902608","104.0676426","104.0769794","104.1037706","104.0325756","103.8973647","103.5694782","102.926274","101.8152901","99.81969032","96.4058883","93.37558761","90.74498579","88.9299667","87.85838335","87.27685192","86.981304","86.77057345","86.83195399","87.09827261","87.48804953","87.84247143","87.984842","88.07383733","88.06725559","88.06604879","88.1614701","88.24715042","88.29362592","88.43860222",
"아파트","전국","규모6","전세가격","","84.67863199","85.14046567","85.80961704","86.63881998","87.11307299","87.64111507","87.93358454","88.1821445","88.48175027","88.85809605","89.31692552","89.711345","89.85409607","89.9834682","90.16888162","90.32683668","90.48451406","90.73131809","90.92026647","91.03944735","91.14048872","91.42217901","91.62035911","91.72625216","91.76349664","91.80789144","91.89525869","92.01787832","92.10019324","92.23750713","92.31227511","92.41347238","92.48236706","92.54233388","92.62892801","92.70014554","92.87579198","92.98200232","92.90843481","92.75048252","92.4515879","92.18591245","91.98673521","91.8584886","91.78871609","91.79147495","91.75468294","91.6169401","91.45541797","91.26820026","91.01870932","90.84173146","90.6804332","90.63087689","90.47913054","90.37713553","90.38337871","90.43398205","90.5940811","90.84658926","91.26521311","91.54781982","91.81139627","91.92762036","91.96930311","92.26420763","92.65305503","93.354798","93.82779466","94.33970093","95.11358158","96.26790743","97.29626149","97.9959585","98.4712083","98.80841417","99.11188181","100","100.7462548","101.2814418","101.9127363","102.4274025","102.8734505","103.1909066","103.3816103","103.4419284","103.6438656","103.7733301","103.9947577","103.9927317","104.0126118","103.9252048","103.5275642","102.7636065","101.3412479","98.64591724","96.28758013","94.08819748","92.60915028","91.86978409","91.47041691","91.17008424","90.90006816","90.88446702","90.97145841","91.16799734","91.41480664","91.52356884","91.56520723","91.49584272","91.44561751","91.50332587","91.53633938","91.60107506","91.6924921",
"아파트","수도권","규모1","전세가격","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.44590781","96.5263647","96.55433459","96.55508943","96.29551596","95.99546847","95.54635489","95.22704221","95.04895363","94.82687699","94.81015746","94.85900605","94.78621094","94.45703474","94.15767127","93.83877782","93.55023419","93.16989735","93.20191879","93.26661611","93.31329155","93.18694871","93.27316979","93.59147387","93.83718887","94.07367684","94.11637271","94.17208269","94.17037848","94.25649631","94.26105012","94.37631063","94.46850654","94.75253027","95.29972702","95.57994608","96.00044674","96.77319486","97.3035916","98.13084619","98.64807376","98.86331693","99.18212186","100","100.6592839","101.5872739","102.4036978","103.1756975","103.6073694","103.7752516","103.8768933","103.9941253","104.1598356","104.4708971","104.698499","104.9469346","105.0591318","105.0877809","104.7379678","103.9040222","102.0145101","99.48488876","97.11777643","95.18578876","94.17100125","93.96808829","93.73257923","93.34113782","93.51646707","93.74435352","94.13562007","94.46944759","94.53678778","94.52794994","94.64587674","94.81530734","94.90578674","95.07886397","95.38308733","95.58379278","95.71501863",
"아파트","수도권","규모2","전세가격","","79.39976535","79.87246734","80.60527819","81.72431008","82.531322","83.38132939","84.01540072","84.5959052","85.37099445","86.12577929","86.90651953","87.3823234","87.61201815","87.79907226","88.00235191","88.30437075","88.56784623","88.874439","89.10851047","89.35503948","89.51562068","89.73172806","90.03276455","90.15536761","90.19657858","90.25397141","90.36854458","90.56507586","90.78048425","91.03691728","91.23369644","91.47587651","91.5972883","91.68480158","91.79229181","91.70316105","91.50449363","91.17534257","90.91962276","90.61334662","90.17336633","89.832837","89.57117862","89.39258057","89.44926261","89.48906829","89.35201267","88.99304441","88.55893354","88.19963831","87.72418038","87.28135303","87.05147491","86.84338522","86.69592874","86.73850238","86.88154827","87.25419014","87.59612672","88.02465741","88.47078851","88.86539895","89.16734097","89.40709214","89.61235974","90.05912484","90.50065547","91.08849883","91.98669587","92.71773325","93.64012277","94.82733168","95.71981429","96.74045958","97.52419801","98.11429731","98.68089312","100","101.4355924","102.8862951","104.0536512","105.2000264","106.0075705","106.2799454","106.2422122","106.1328892","106.0621694","106.1083979","106.1543017","106.1795026","106.0033204","105.3568309","104.245944","102.1800615","98.76335725","93.64813913","89.36023555","86.35152958","84.83925144","84.13996877","84.00074085","84.01953534","84.19003193","84.65880574","85.46254201","86.24313532","86.84547558","87.13040565","87.3571443","87.62563201","88.00637672","88.42511425","88.88277177","89.38355822","89.98454071",
"아파트","수도권","규모3","전세가격","","78.22296978","78.8174156","79.5186261","80.5267932","81.28121924","82.10650079","82.71102149","83.23581777","83.97707726","84.69936303","85.38078293","85.85300276","86.09865078","86.32592722","86.50668887","86.72098117","86.92544095","87.2083034","87.44725737","87.62798919","87.77167465","88.02637536","88.29686726","88.40730309","88.44688553","88.49707445","88.61107886","88.77601614","88.97551703","89.17408274","89.33028088","89.53100601","89.66721916","89.77455627","89.90410425","89.83902559","89.73399982","89.55531192","89.32839968","88.97379156","88.52665132","88.12911127","87.83183208","87.6480171","87.64372722","87.72391857","87.65571444","87.42014466","87.04301051","86.60650752","86.1754372","85.66816396","85.37958807","85.17846765","85.0200598","85.01921068","85.19071163","85.54571559","85.98514819","86.53501521","87.12942227","87.62676556","88.05834538","88.32538933","88.50909935","89.02430598","89.69382118","90.56257109","91.51912535","92.33274838","93.47034352","94.85644837","95.87604762","96.9534325","97.72502283","98.25278521","98.78266834","100","101.1124822","102.3055044","103.3636084","104.4121977","105.0225469","105.2621245","105.149455","104.8923267","104.56808","104.3556767","104.139713","103.8919264","103.5426672","102.7325304","101.506876","99.42053658","95.84833974","90.707418","86.02738447","82.72879369","80.98142035","80.23861692","80.13354777","80.21584948","80.50010817","81.04086107","81.88766702","82.83548988","83.50658574","83.90818613","84.11860967","84.2945637","84.53899205","84.81521417","85.22387774","85.62058027","86.18670879",
"아파트","수도권","규모4","전세가격","","79.27310849","80.00676223","80.73804537","81.60999495","82.47923055","83.17840136","83.73439364","84.17015065","84.70814263","85.3221732","85.93073937","86.16622653","86.27754653","86.47493884","86.58964264","86.80946043","86.99509492","87.22188179","87.42274961","87.61215912","87.7688262","87.89207594","87.99175984","88.08271712","88.10197725","88.18830063","88.21796443","88.33781363","88.49190482","88.66495682","88.70795074","88.80299781","88.85072302","88.93956843","89.07040969","89.10350114","88.93354345","88.89117579","88.79153391","88.46326523","88.04846499","87.73029221","87.46403499","87.15754245","87.22812966","87.19950458","87.00001265","86.86608437","86.5952337","86.22961595","85.73089907","85.23561104","84.94398557","84.61081071","84.47545736","84.53662728","84.7040808","85.09113063","85.59377161","86.14423887","86.8160154","87.17260888","87.69602892","87.95613943","88.37869496","89.04230516","90.08020731","90.95287847","91.92472737","92.85806547","94.17518764","95.59655588","96.72103444","97.51340029","98.03761267","98.45978768","98.99529981","100","100.920839","102.054966","103.0377228","103.8552976","104.6620659","105.1410205","105.1671554","105.0957184","104.7385826","104.5539364","104.3569614","104.1826257","103.9249184","103.2248864","102.1860747","100.2223529","97.24106776","92.20555468","87.45154885","83.80422159","81.5418782","80.40934099","80.16232845","80.30276536","80.48558287","80.96238875","81.94375952","83.02638421","83.95387495","84.47234045","84.59904382","84.69703195","84.91935885","85.07311663","85.33626349","85.67941649","86.17972633",
